## char	name	STD	MAC	WIN	PDF	SYM
U+039D	Nu	-	-	-	-	116
U+039E	Xi	-	-	-	-	130
U+039F	Omicron	-	-	-	-	117
U+03A0	Pi	-	-	-	-	120
U+03A1	Rho	-	-	-	-	122
U+03A3	Sigma	-	-	-	-	123
U+03A4	Tau	-	-	-	-	124
U+03A5	Upsilon	-	-	-	-	125
U+03A6	Phi	-	-	-	-	106
U+03A7	Chi	-	-	-	-	103
U+03A8	Psi	-	-	-	-	131
U+03A9	Omega	-	-	-	-	127
U+03B1	alpha	-	-	-	-	141
U+03B2	beta	-	-	-	-	142
U+03B3	gamma	-	-	-	-	147
U+03B4	delta	-	-	-	-	144
U+03B5	epsilon	-	-	-	-	145
U+03B6	zeta	-	-	-	-	172
U+03B7	eta	-	-	-	-	150
U+03B8	theta	-	-	-	-	161
U+03B9	iota	-	-	-	-	151
U+03BA	kappa	-	-	-	-	153
U+03BB	lambda	-	-	-	-	154
U+03BC	mu	-	265	265	265	155
U+03BD	nu	-	-	-	-	156
U+03BE	xi	-	-	-	-	170
U+03BF	omicron	-	-	-	-	157
U+03C0	pi	-	-	-	-	160
U+03C1	rho	-	-	-	-	162
U+03C2	sigma1	-	-	-	-	126
U+03C3	sigma	-	-	-	-	163
U+03C4	tau	-	-	-	-	164
U+03C5	upsilon	-	-	-	-	165
U+03C6	phi	-	-	-	-	146
U+03C7	chi	-	-	-	-	143
U+03C8	psi	-	-	-	-	171
U+03C9	omega	-	-	-	-	167
U+03D1	theta1	-	-	-	-	112
U+03D2	Upsilon1	-	-	-	-	241
U+03D5	phi1	-	-	-	-	152
U+03D6	omega1	-	-	-	-	166
U+2013	endash	261	320	226	205	-
U+2014	emdash	320	321	227	204	-
U+2018	quoteleft	140	324	221	217	-
U+2019	quoteright	047	325	222	220	-
U+201A	quotesinglbase	270	342	202	221	-
U+201C	quotedblleft	252	322	223	215	-
U+201D	quotedblright	272	323	224	216	-
U+201E	quotedblbase	271	343	204	214	-
U+2020	dagger	262	240	206	201	-
U+2021	daggerdbl	263	340	207	202	-
U+2022	bullet	267	245	225	200	267
U+2026	ellipsis	274	311	205	203	274
U+2030	perthousand	275	344	211	213	-
U+2032	minute	-	-	-	-	242
U+2033	second	-	-	-	-	262
U+2039	guilsinglleft	254	334	213	210	-
U+203A	guilsinglright	255	335	233	211	-
U+2044	fraction	244	332	-	207	244
U+20AC	Euro	-	-	200	240	240
U+2111	Ifraktur	-	-	-	-	301
U+2118	weierstrass	-	-	-	-	303
U+211C	Rfraktur	-	-	-	-	302
U+2122	trademark	-	252	231	222	-
U+2135	aleph	-	-	-	-	300
U+2190	arrowleft	-	-	-	-	254
U+2191	arrowup	-	-	-	-	255
U+2192	arrowright	-	-	-	-	256
U+2193	arrowdown	-	-	-	-	257
U+2194	arrowboth	-	-	-	-	253
U+21B5	carriagereturn	-	-	-	-	277
U+21D0	arrowdblleft	-	-	-	-	334
U+21D1	arrowdblup	-	-	-	-	335
U+21D2	arrowdblright	-	-	-	-	336
U+21D3	arrowdbldown	-	-	-	-	337
U+21D4	arrowdblboth	-	-	-	-	333
U+2200	universal	-	-	-	-	042
U+2202	partialdiff	-	-	-	-	266
U+2203	existential	-	-	-	-	044
U+2205	emptyset	-	-	-	-	306
U+2207	gradient	-	-	-	-	321
U+2208	element	-	-	-	-	316
U+2209	notelement	-	-	-	-	317
U+220B	suchthat	-	-	-	-	047
U+220F	product	-	-	-	-	325
U+2211	summation	-	-	-	-	345
U+2212	minus	-	-	-	212	055
U+2217	asteriskmath	-	-	-	-	052
U+221A	radical	-	-	-	-	326
U+221D	proportional	-	-	-	-	265
U+221E	infinity	-	-	-	-	245
U+2220	angle	-	-	-	-	320
U+2227	logicaland	-	-	-	-	331
U+2228	logicalor	-	-	-	-	332
U+2229	intersection	-	-	-	-	307
U+222A	union	-	-	-	-	310
U+222B	integral	-	-	-	-	362
U+2234	therefore	-	-	-	-	134
U+223C	similar	-	-	-	-	176
U+2245	congruent	-	-	-	-	100
U+2248	approxequal	-	-	-	-	273
U+2260	notequal	-	-	-	-	271
U+2261	equivalence	-	-	-	-	272
U+2264	lessequal	-	-	-	-	243
U+2265	greaterequal	-	-	-	-	263
U+2282	propersubset	-	-	-	-	314
U+2283	propersuperset	-	-	-	-	311
U+2284	notsubset	-	-	-	-	313
U+2286	reflexsubset	-	-	-	-	315
U+2287	reflexsuperset	-	-	-	-	312
U+2295	circleplus	-	-	-	-	305
U+2297	circlemultiply	-	-	-	-	304
U+22A5	perpendicular	-	-	-	-	136
U+22C5	dotmath	-	-	-	-	327
U+2320	integraltp	-	-	-	-	363
U+2321	integralbt	-	-	-	-	365
U+2329	angleleft	-	-	-	-	341
U+232A	angleright	-	-	-	-	361
U+25CA	lozenge	-	-	-	-	340
U+2660	spade	-	-	-	-	252
U+2663	club	-	-	-	-	247
U+2665	heart	-	-	-	-	251
U+2666	diamond	-	-	-	-	250
U+F6D9	copyrightserif	-	-	-	-	323
U+F6DA	registerserif	-	-	-	-	322
U+F6DB	trademarkserif	-	-	-	-	324
U+F8E5	radicalex	-	-	-	-	140
U+F8E6	arrowvertex	-	-	-	-	275
U+F8E7	arrowhorizex	-	-	-	-	276
U+F8E8	registersans	-	-	-	-	34
U+F8E9	copyrightsans	-	-	-	-	343
U+F8EA	trademarksans	-	-	-	-	344
U+F8EB	parenlefttp	-	-	-	-	346
U+F8EC	parenleftex	-	-	-	-	347
U+F8ED	parenleftbt	-	-	-	-	350
U+F8EE	bracketlefttp	-	-	-	-	351
U+F8EF	bracketleftex	-	-	-	-	352
U+F8F0	bracketleftbt	-	-	-	-	353
U+F8F1	bracelefttp	-	-	-	-	354
U+F8F2	braceleftmid	-	-	-	-	355
U+F8F3	braceleftbt	-	-	-	-	356
U+F8F4	braceex	-	-	-	-	357
U+F8F5	integralex	-	-	-	-	364
U+F8F6	parenrighttp	-	-	-	-	366
U+F8F7	parenrightex	-	-	-	-	367
U+F8F8	parenrightbt	-	-	-	-	370
U+F8F9	bracketrighttp	-	-	-	-	371
U+F8FA	bracketrightex	-	-	-	-	372
U+F8FB	bracketrightbt	-	-	-	-	373
U+F8FC	bracerighttp	-	-	-	-	374
U+F8FD	bracerightmid	-	-	-	-	375
U+F8FE	bracerightbt	-	-	-	-	376
U+FB01	fi	256	336	-	223	-
U+FB02	fl	257	337	-	224	-
